Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2667.61,-1271.623,-1269.9308654002743,1.4212747812271118,0.9689,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0050_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2653.35,-1248.589,-1248.589,1.5881431102752686,0.9635,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0051_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2614.35,-1232.961,-1212.3060633657062,1.759921312332153,0.9518,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0052_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2641.34,-1175.318,-1175.318,1.5652484893798828,0.9640000000000001,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0053_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2660.3,-1122.9769999999999,-1122.9769999999999,1.9025499820709229,0.9549,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0054_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2609.42,-1265.113,-1237.3164679355282,1.5986626148223877,0.9612,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0055_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2643.6,-1246.7060000000001,-1246.7060000000001,1.7915481328964231,0.9557,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0056_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2642.34,-1239.298,-1239.298,1.4870344400405884,0.9655,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0057_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2653.74,-1234.494,-1234.494,1.598791003227234,0.9608,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0058_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2652.15,-1212.625,-1212.625,1.694729924201965,0.9629,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0059_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2643.69,-1211.1660000000004,-1211.1660000000004,1.6237643957138062,0.963,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0060_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2642.51,-1235.4460000000001,-1235.4460000000001,1.472635269165039,0.9654,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0061_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2633.94,-1266.875,-1265.2811124052125,1.4645960330963137,0.9666,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0062_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2630.47,-1214.838,-1211.2758074074072,1.5753573179244995,0.961,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0063_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2662.89,-1228.068,-1227.888468325926,1.9925535917282104,0.9465,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0064_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2626.38,-1251.026,-1244.2634548941016,1.5016100406646729,0.9651,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0065_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2664.23,-1203.123,-1202.6659854639233,1.6510602235794067,0.9564,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0066_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2657.37,-1248.277,-1248.277,1.6486153602600098,0.9602,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0067_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2681.89,-1216.489,-1202.4330839089166,1.6829514503479004,0.9648,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0068_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2652.28,-1277.391,-1277.391,1.6265406608581543,0.9638,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0069_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2672.65,-1253.396,-1248.5521372817557,1.4938266277313232,0.9636,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0070_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2669.8,-1259.8210000000001,-1256.9424998620027,1.3718301057815552,0.9715,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0071_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2635.08,-1255.819,-1254.7095852891632,1.5778032541275024,0.9612,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0072_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2617.32,-1253.1019999999999,-1236.4012888545954,1.5814884901046753,0.968,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0073_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2641.65,-1236.938,-1236.938,1.6931109428405762,0.9554,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0074_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2642.5,-1253.225,-1253.225,1.8889544010162356,0.9692,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0075_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2620.34,-1240.5439999999999,-1227.541494770096,1.7936747074127195,0.9562,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0076_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2659.21,-1176.265,-1176.265,2.01492691040039,0.9521,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0077_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2674.0,-1222.479,-1216.547749392867,1.6172524690628052,0.9636,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0078_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2632.41,-1252.072,-1249.6996636422493,1.4196597337722778,0.9690000000000001,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0079_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2628.44,-1244.204,-1239.1661221034292,1.7282052040100098,0.9622,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0080_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2641.97,-1113.233,-1113.233,2.089782476425171,0.9453,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0081_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2672.4,-1246.4189999999999,-1241.7657553407405,1.6898831129074097,0.9656,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0082_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2629.83,-1252.552,-1248.5493949805211,1.4920198917388916,0.9648,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0083_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2624.14,-1216.281,-1207.4001085259256,2.0820629596710205,0.9595,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0084_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2652.49,-1260.9160000000004,-1260.9160000000004,1.4127086400985718,0.9668,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0085_0001.pdb
2P8H_gmb,405,2650.67,Mainly Beta,Beta Barrel,2679.75,-1243.937,-1232.3594256,1.8617137670516968,0.9585,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/AF_BAD_PERFORMING/HM/2P8H/RS/1/r_gmb_1_S_0086_0001.pdb
